34.7,0.21596,0.026491,-0.21748,0.0073509,0.22759,-0.12031,-0.17524,0.20706,0.078028,-0.24644
34.8,0.21563,0.028092,-0.21675,0.0031453,0.22865,-0.1141,-0.18051,0.20144,0.088119,-0.2447
34.9,0.2153,0.029679,-0.216,-0.0010227,0.22957,-0.10785,-0.18554,0.19557,0.097947,-0.24239
35,0.21497,0.031253,-0.21525,-0.0051521,0.23037,-0.10157,-0.1903,0.18946,0.1075,-0.23952
35.1,0.21463,0.032813,-0.21448,-0.009242,0.23103,-0.095269,-0.19482,0.18313,0.11675,-0.23611
35.2,0.2143,0.03436,-0.2137,-0.013292,0.23156,-0.08895,-0.19907,0.17658,0.12571,-0.23218
35.3,0.21396,0.035893,-0.21292,-0.0173,0.23197,-0.082618,-0.20307,0.16985,0.13434,-0.22774
35.4,0.21362,0.037412,-0.21213,-0.021267,0.23226,-0.076281,-0.20682,0.16293,0.14266,-0.22283
35.5,0.21328,0.038918,-0.21133,-0.025191,0.23242,-0.069942,-0.21031,0.15584,0.15064,-0.21745
35.6,0.21294,0.040411,-0.21052,-0.029072,0.23246,-0.063609,-0.21355,0.1486,0.15827,-0.21164
35.7,0.2126,0.04189,-0.2097,-0.03291,0.23239,-0.057285,-0.21654,0.14121,0.16556,-0.20541
35.8,0.21226,0.043357,-0.20887,-0.036703,0.2322,-0.050975,-0.21928,0.13371,0.17249,-0.19879
35.9,0.21192,0.04481,-0.20804,-0.040451,0.2319,-0.044685,-0.22177,0.12608,0.17906,-0.19179
36,0.21158,0.04625,-0.20719,-0.044154,0.23148,-0.038419,-0.22402,0.11836,0.18527,-0.18445
36.1,0.21123,0.047677,-0.20632,-0.047812,0.23097,-0.032181,-0.22602,0.11055,0.1911,-0.17678
36.2,0.21089,0.049091,-0.20545,-0.051423,0.23034,-0.025975,-0.22779,0.10267,0.19657,-0.16881
36.3,0.21054,0.050492,-0.20456,-0.054988,0.22962,-0.019807,-0.22932,0.094719,0.20165,-0.16057
36.4,0.2102,0.051881,-0.20366,-0.058505,0.22879,-0.013679,-0.23061,0.08672,0.20637,-0.15206
36.5,0.20985,0.053256,-0.20275,-0.061976,0.22787,-0.0075957,-0.23167,0.078681,0.2107,-0.14332
36.6,0.2095,0.054619,-0.20182,-0.065399,0.22685,-0.0015606,-0.23251,0.070615,0.21466,-0.13438
36.7,0.20915,0.05597,-0.20087,-0.068775,0.22574,0.0044229,-0.23312,0.062531,0.21825,-0.12524
36.8,0.20881,0.057307,-0.19992,-0.072102,0.22453,0.010351,-0.23351,0.054442,0.22146,-0.11594
36.9,0.20846,0.058633,-0.19895,-0.075382,0.22324,0.016222,-0.23368,0.046357,0.2243,-0.10649
37,0.20811,0.059946,-0.19796,-0.078613,0.22186,0.02203,-0.23365,0.038286,0.22677,-0.09692
37.1,0.20776,0.061246,-0.19697,-0.081796,0.2204,0.027775,-0.2334,0.03024,0.22887,-0.08725
37.2,0.20741,0.062535,-0.19595,-0.08493,0.21886,0.033453,-0.23295,0.022227,0.23061,-0.077499
37.3,0.20706,0.063811,-0.19493,-0.088016,0.21724,0.039061,-0.2323,0.014257,0.232,-0.067687
37.4,0.2067,0.065075,-0.19389,-0.091053,0.21554,0.044597,-0.23146,0.0063396,0.23303,-0.057835
37.5,0.20635,0.066327,-0.19284,-0.094041,0.21377,0.050058,-0.23043,-0.0015179,0.23371,-0.047962
37.6,0.206,0.067567,-0.19177,-0.09698,0.21192,0.055442,-0.22921,-0.0093069,0.23405,-0.038087
37.7,0.20565,0.068796,-0.1907,-0.099871,0.21001,0.060748,-0.22781,-0.017019,0.23405,-0.028228
37.8,0.20529,0.070012,-0.18961,-0.10271,0.20803,0.065973,-0.22623,-0.024648,0.23372,-0.018402
37.9,0.20494,0.071217,-0.18851,-0.10551,0.20598,0.071115,-0.22448,-0.032186,0.23307,-0.0086267
38,0.20459,0.07241,-0.18739,-0.10825,0.20387,0.076172,-0.22256,-0.039625,0.2321,0.0010811
38.1,0.20423,0.073591,-0.18627,-0.11095,0.2017,0.081143,-0.22048,-0.04696,0.23082,0.010706
38.2,0.20388,0.074761,-0.18513,-0.1136,0.19947,0.086027,-0.21825,-0.054185,0.22925,0.020232
38.3,0.20353,0.07592,-0.18399,-0.1162,0.19718,0.090821,-0.21586,-0.061292,0.22737,0.029645
38.4,0.20317,0.077067,-0.18283,-0.11875,0.19483,0.095525,-0.21332,-0.068278,0.22522,0.038931
38.5,0.20282,0.078203,-0.18167,-0.12125,0.19244,0.10014,-0.21064,-0.075135,0.22278,0.048076
38.6,0.20246,0.079328,-0.18049,-0.12371,0.18999,0.10466,-0.20782,-0.08186,0.22008,0.057068
38.7,0.20211,0.080442,-0.1793,-0.12612,0.18749,0.10908,-0.20487,-0.088448,0.21711,0.065894
38.8,0.20175,0.081544,-0.17811,-0.12848,0.18495,0.11341,-0.20179,-0.094894,0.21389,0.074544
38.9,0.2014,0.082636,-0.1769,-0.13079,0.18236,0.11765,-0.19859,-0.10119,0.21043,0.083005
39,0.20104,0.083717,-0.17569,-0.13306,0.17973,0.12179,-0.19526,-0.10734,0.20674,0.091269
39.1,0.20069,0.084787,-0.17447,-0.13528,0.17705,0.12583,-0.19183,-0.11334,0.20282,0.099325
39.2,0.20033,0.085846,-0.17324,-0.13745,0.17434,0.12977,-0.18828,-0.11918,0.19869,0.10716
39.3,0.19998,0.086894,-0.172,-0.13958,0.17159,0.13362,-0.18463,-0.12486,0.19435,0.11478
39.4,0.19962,0.087932,-0.17076,-0.14166,0.1688,0.13737,-0.18088,-0.13038,0.18981,0.12216
39.5,0.19927,0.08896,-0.16951,-0.14369,0.16598,0.14102,-0.17703,-0.13574,0.18509,0.1293
